Iteration,Doors,Reveals,HostPolicy,PrizeDoor,InitialChoice,RevealedDoors,SwitchDoor,HostRevealedPrize,StayWin,SwapWin
368,3,1,informed,3,1,2,3,False,False,True
369,3,1,informed,1,1,3,2,False,True,False
370,3,1,informed,1,1,2,3,False,True,False
371,3,1,informed,2,3,1,2,False,False,True
372,3,1,informed,2,1,3,2,False,False,True
373,3,1,informed,3,3,1,2,False,True,False
374,3,1,informed,1,2,3,1,False,False,True
375,3,1,informed,2,1,3,2,False,False,True
376,3,1,informed,3,2,1,3,False,False,True
377,3,1,informed,3,2,1,3,False,False,True
378,3,1,informed,1,2,3,1,False,False,True
379,3,1,informed,1,3,2,1,False,False,True
380,3,1,informed,3,3,2,1,False,True,False
381,3,1,informed,2,2,1,3,False,True,False
382,3,1,informed,3,1,2,3,False,False,True
383,3,1,informed,2,3,1,2,False,False,True
384,3,1,informed,2,1,3,2,False,False,True
385,3,1,informed,1,1,2,3,False,True,False
386,3,1,informed,3,1,2,3,False,False,True
387,3,1,informed,1,1,3,2,False,True,False
388,3,1,informed,2,3,1,2,False,False,True
389,3,1,informed,1,1,3,2,False,True,False
390,3,1,informed,2,3,1,2,False,False,True
391,3,1,informed,3,2,1,3,False,False,True
392,3,1,informed,1,3,2,1,False,False,True
393,3,1,informed,3,1,2,3,False,False,True
394,3,1,informed,1,3,2,1,False,False,True
395,3,1,informed,3,1,2,3,False,False,True
396,3,1,informed,3,2,1,3,False,False,True
397,3,1,informed,3,3,2,1,False,True,False
398,3,1,informed,1,3,2,1,False,False,True
399,3,1,informed,1,2,3,1,False,False,True
400,3,1,informed,2,2,3,1,False,True,False
401,3,1,informed,2,3,1,2,False,False,True
402,3,1,informed,1,1,2,3,False,True,False
403,3,1,informed,3,3,2,1,False,True,False
404,3,1,informed,3,3,1,2,False,True,False
405,3,1,informed,2,1,3,2,False,False,True
406,3,1,informed,3,3,2,1,False,True,False
407,3,1,informed,2,3,1,2,False,False,True
408,3,1,informed,2,1,3,2,False,False,True
409,3,1,informed,3,3,1,2,False,True,False
410,3,1,informed,2,1,3,2,False,False,True
411,3,1,informed,3,1,2,3,False,False,True
412,3,1,informed,1,3,2,1,False,False,True
413,3,1,informed,3,2,1,3,False,False,True
414,3,1,informed,3,1,2,3,False,False,True
415,3,1,informed,1,2,3,1,False,False,True
416,3,1,informed,3,2,1,3,False,False,True
417,3,1,informed,3,2,1,3,False,False,True
418,3,1,informed,3,3,1,2,False,True,False
419,3,1,informed,2,3,1,2,False,False,True
420,3,1,informed,1,3,2,1,False,False,True
421,3,1,informed,3,2,1,3,False,False,True
422,3,1,informed,3,2,1,3,False,False,True
423,3,1,informed,3,1,2,3,False,False,True
424,3,1,informed,3,1,2,3,False,False,True
425,3,1,informed,3,1,2,3,False,False,True
426,3,1,informed,1,2,3,1,False,False,True
427,3,1,informed,2,3,1,2,False,False,True
428,3,1,informed,3,1,2,3,False,False,True
429,3,1,informed,2,1,3,2,False,False,True
430,3,1,informed,2,2,3,1,False,True,False
431,3,1,informed,3,2,1,3,False,False,True
432,3,1,informed,2,3,1,2,False,False,True
433,3,1,informed,1,3,2,1,False,False,True
434,3,1,informed,2,1,3,2,False,False,True
435,3,1,informed,1,2,3,1,False,False,True
436,3,1,informed,3,3,1,2,False,True,False
437,3,1,informed,2,1,3,2,False,False,True
438,3,1,informed,3,3,2,1,False,True,False
439,3,1,informed,2,2,1,3,False,True,False
440,3,1,informed,2,1,3,2,False,False,True
441,3,1,informed,2,2,3,1,False,True,False
442,3,1,informed,2,3,1,2,False,False,True
443,3,1,informed,3,2,1,3,False,False,True
444,3,1,informed,1,1,3,2,False,True,False
445,3,1,informed,3,1,2,3,False,False,True
446,3,1,informed,2,1,3,2,False,False,True
447,3,1,informed,2,3,1,2,False,False,True
448,3,1,informed,1,1,2,3,False,True,False
449,3,1,informed,2,3,1,2,False,False,True
450,3,1,informed,2,3,1,2,False,False,True
451,3,1,informed,2,3,1,2,False,False,True
452,3,1,informed,1,1,3,2,False,True,False
453,3,1,informed,2,3,1,2,False,False,True
454,3,1,informed,3,3,2,1,False,True,False
